% Model:              temp.mph
% Version:            COMSOL 5.4.0.225
% Date:               May 10 2023, 20:39
% Dimension:          3
% Nodes:              218
% Expressions:        1
% Description:        体
% X                       Y                        Z                        Color
0                         0.5                      3                        -0.1567388581599559
0.5                       0.5000000000000001       3                        -0.10884788025814829
0.5                       0                        3                        -0.09905884354291083
0                         1                        2.9999999999999996       -0.16586128201421568
0.5000000000000002        1.0000000000000002       3.0000000000000004       -0.11752565147016923
1.0000000000000002        0.5000000000000001       3.0000000000000004       -0.06070327758056693
1                         0                        2.9999999999999996       -0.05135889350756834
0                         1.5                      3                        -0.17387244036525898
0.5                       1.5000000000000002       3                        -0.12509215717897365
1.0000000000000002        1.0000000000000002       3.0000000000000004       -0.06893639615034901
1.5000000000000002        0.5                      3.0000000000000004       -0.012305050127211796
1.5                       0                        3                        -0.0034053186964520636
0                         2                        2.9999999999999996       -0.18077233321308572
0.5                       2                        3.0000000000000004       -0.13154739738456156
1                         1.5000000000000002       3                        -0.07605824921691456
1.5000000000000002        1                        3.000000000000001        -0.020093516054755026
2                         0.5                      3.0000000000000004       0.03634680210191707
2                         0                        2.9999999999999996       0.04480188089043794
0                         2.5000000000000004       3.0000000000000004       -0.186560960557696
0.5                       2.5000000000000004       3.0000000000000013       -0.13689137208693292
1                         2                        3.0000000000000004       -0.08206883678026358
1.5                       1.5                      3                        -0.026770716479081705
2.0000000000000004        1                        3.0000000000000004       0.029002988816612722
2.5000000000000004        0.5                      3.000000000000001        0.08525227910681969
2.5000000000000004        0                        3.0000000000000004       0.09326270525310174
0                         1.0000000000000002       2.5                      -0.17362777305306554
0                         0.5                      2.5                      -0.16898246053444235
0                         1.5000000000000002       2.500000000000001        -0.17716182006847214
0                         2                        2.5000000000000004       -0.17958460158066225
0                         2.5                      2.5000000000000004       -0.18089611758963586
0                         3.0000000000000004       2.5000000000000013       -0.18109636809539295
0                         1.5000000000000002       2.0000000000000004       -0.17175875999989137
0                         1                        2                        -0.17270182432012138
0                         2.0000000000000004       2.0000000000000004       -0.16970443017644485
0                         2.5                      2                        -0.1665388348497818
0                         3                        2.0000000000000004       -0.16226197401990222
0                         2                        1.5                      -0.1511318190004335
0                         1.5                      1.5                      -0.15766326015951665
0                         2.5000000000000004       1.5000000000000004       -0.1434891123381338
0                         3                        1.5                      -0.13473514017261756
0                         2.5                      1.0000000000000002       -0.11174695005469187
0                         2                        0.9999999999999998       -0.12386676805262818
0                         3                        1.0000000000000004       -0.09851586655353901
0                         3.000000000000001        0.5000000000000007       -0.053604153162666486
0                         2.5000000000000004       0.5000000000000002       -0.07131234799945596
0                         0                        3                        -0.14650516880247955
0                         3                        3                        -0.19123832239908967
3                         0                        3                        0.14197715439153924
0                         3                        0                        0
0                         0                        0.5                      -0.0805019123428205
0.5                       0                        1.0000000000000002       -0.08824011624685539
0.5                       0                        0.5                      -0.029451050213767625
0                         0                        1                        -0.1385700710020114
0.5000000000000002        0                        1.5000000000000002       -0.1245954285963136
1.0000000000000002        0                        1.5000000000000002       -0.07473275643928062
1                         0                        1                        -0.03765653671592558
0                         0                        1.5                      -0.1742044759775728
0.5                       0                        2                        -0.13851698726214226
1.0000000000000002        0                        2.0000000000000004       -0.08937522247900609
1.5000000000000002        0                        2                        -0.039979832920096166
1.5                       0                        1.5                      -0.024616459506473877
0                         0                        2                        -0.1874051272695046
0.5                       0                        2.5                      -0.13000479224434133
1                         0                        2.5                      -0.081583934835102
1.5000000000000002        0                        2.5000000000000004       -0.0329094526500889
2                         0                        2.5                      0.016018654310697926
2                         0                        2                        0.009669181414587499
0                         0                        2.5000000000000004       -0.17817202487780687
2.5000000000000004        0                        2.5000000000000004       0.06520038604725856
0                         0.5                      0.5000000000000001       -0.0786639994741476
0                         0.5                      0                        0
0                         0.5000000000000002       1.0000000000000002       -0.13489424526466562
0                         0.5                      1.5000000000000002       -0.1686907373715541
0                         0.5                      2                        -0.180053475794813
0                         1.0000000000000002       0.5000000000000001       -0.07682608660547469
0                         1                        0                        0
0                         1.0000000000000002       1.0000000000000002       -0.1312184195273198
0                         1                        1.5000000000000002       -0.16317699876553537
0                         1.5000000000000002       0.5                      -0.07498817373680176
0                         1.5                      0                        0
0                         1.5000000000000002       1                        -0.12754259378997398
0                         2                        0.5                      -0.07315026086812887
0                         2                        0                        0
0                         2.5000000000000004       0                        0
0                         0                        0                        0
0.5                       0                        0                        0
0.5000000000000001        0.5                      0                        0
1                         0                        0                        0
1.0000000000000002        0.5000000000000002       0                        0
0.5000000000000001        1.0000000000000002       0                        0
1.5                       0                        0                        0
1.5000000000000002        0.5                      0                        0
1.0000000000000002        1.0000000000000002       0                        0
0.5                       1.5000000000000002       0                        0
2                         0                        0                        0
2                         0.5                      0                        0
1.5000000000000002        1                        0                        0
1                         1.5000000000000002       0                        0
0.5                       2                        0                        0
2.5000000000000004        0                        0                        0
2.5000000000000004        0.5                      0                        0
2                         1                        0                        0
1.5                       1.5                      0                        0
1                         2.0000000000000004       0                        0
0.5                       2.5000000000000004       0                        0
1.0000000000000002        0                        0.5                      -0.011874374214227879
1.5000000000000002        0                        0.5000000000000002       0.005702301785311868
2                         0                        0.5                      0.023278977784851617
2.5                       0                        0.5                      0.040855653784391356
3.0000000000000004        0                        0.5                      0.05843232978393112
1.5000000000000002        0                        1.0000000000000002       -0.0025031847168460923
2.0000000000000004        0                        1.0000000000000002       0.032650167282233404
2.5                       0                        1                        0.0678035192813129
3                         0                        1                        0.1029568712803924
2                         0                        1.5000000000000002       0.02811356849214536
