frame	time	光标 2	units
0	2002-06-12 22:39:15.946000	1.605322e+01	C
1	2002-06-12 22:39:16.105000	1.598702e+01	C
2	2002-06-12 22:39:16.265000	1.600909e+01	C
3	2002-06-12 22:39:16.585000	1.599438e+01	C
4	2002-06-12 22:39:16.746000	1.601645e+01	C
5	2002-06-12 22:39:16.906000	1.596495e+01	C
6	2002-06-12 22:39:17.226000	1.602380e+01	C
7	2002-06-12 22:39:17.386000	1.592814e+01	C
8	2002-06-12 22:39:17.546000	1.595023e+01	C
9	2002-06-12 22:39:17.866000	1.606057e+01	C
10	2002-06-12 22:39:18.026000	1.603851e+01	C
11	2002-06-12 22:39:18.186000	1.595759e+01	C
12	2002-06-12 22:39:18.506000	1.602380e+01	C
13	2002-06-12 22:39:18.666000	1.597231e+01	C
14	2002-06-12 22:39:18.826000	1.603116e+01	C
15	2002-06-12 22:39:19.146000	1.603116e+01	C
16	2002-06-12 22:39:19.306000	1.599438e+01	C
17	2002-06-12 22:39:19.466000	1.597966e+01	C
18	2002-06-12 22:39:19.626000	1.600174e+01	C
19	2002-06-12 22:39:19.946000	1.598702e+01	C
20	2002-06-12 22:39:20.106000	1.602380e+01	C
21	2002-06-12 22:39:20.266000	1.602380e+01	C
22	2002-06-12 22:39:20.586000	1.610467e+01	C
23	2002-06-12 22:39:20.746000	1.608997e+01	C
24	2002-06-12 22:39:20.906000	1.612672e+01	C
25	2002-06-12 22:39:21.226000	1.611937e+01	C
26	2002-06-12 22:39:21.386000	1.619282e+01	C
27	2002-06-12 22:39:21.546000	1.616345e+01	C
28	2002-06-12 22:39:21.866000	1.617079e+01	C
29	2002-06-12 22:39:22.026000	1.617813e+01	C
30	2002-06-12 22:39:22.186000	1.622952e+01	C
31	2002-06-12 22:39:22.506000	1.625888e+01	C
32	2002-06-12 22:39:22.666000	1.630289e+01	C
33	2002-06-12 22:39:22.826000	1.629556e+01	C
34	2002-06-12 22:39:23.146000	1.639820e+01	C
35	2002-06-12 22:39:23.306000	1.645680e+01	C
36	2002-06-12 22:39:23.466000	1.643483e+01	C
37	2002-06-12 22:39:23.626000	1.649341e+01	C
38	2002-06-12 22:39:23.786000	1.650805e+01	C
39	2002-06-12 22:39:23.946000	1.655927e+01	C
40	2002-06-12 22:39:24.106000	1.651537e+01	C
41	2002-06-12 22:39:24.266000	1.659584e+01	C
42	2002-06-12 22:39:24.426000	1.661778e+01	C
43	2002-06-12 22:39:24.586000	1.663240e+01	C
44	2002-06-12 22:39:24.746000	1.666895e+01	C
45	2002-06-12 22:39:24.906000	1.668356e+01	C
46	2002-06-12 22:39:25.226000	1.681499e+01	C
47	2002-06-12 22:39:25.386000	1.683688e+01	C
48	2002-06-12 22:39:25.546000	1.687335e+01	C
49	2002-06-12 22:39:25.866000	1.690981e+01	C
50	2002-06-12 22:39:26.026000	1.692439e+01	C
51	2002-06-12 22:39:26.186000	1.694625e+01	C
52	2002-06-12 22:39:26.506000	1.702639e+01	C
53	2002-06-12 22:39:26.666000	1.704823e+01	C
54	2002-06-12 22:39:26.826000	1.706279e+01	C
55	2002-06-12 22:39:27.148000	1.715737e+01	C
56	2002-06-12 22:39:27.308000	1.717919e+01	C
57	2002-06-12 22:39:27.470000	1.725914e+01	C
58	2002-06-12 22:39:27.628000	1.724460e+01	C
59	2002-06-12 22:39:27.788000	1.730272e+01	C
60	2002-06-12 22:39:27.948000	1.736805e+01	C
61	2002-06-12 22:39:28.109000	1.736805e+01	C
62	2002-06-12 22:39:28.268000	1.748410e+01	C
63	2002-06-12 22:39:28.429000	1.748410e+01	C
64	2002-06-12 22:39:28.588000	1.749135e+01	C
65	2002-06-12 22:39:28.749000	1.757105e+01	C
66	2002-06-12 22:39:28.909000	1.756381e+01	C
67	2002-06-12 22:39:29.229000	1.765793e+01	C
68	2002-06-12 22:39:29.389000	1.763622e+01	C
69	2002-06-12 22:39:29.549000	1.768687e+01	C
70	2002-06-12 22:39:29.869000	1.773750e+01	C
71	2002-06-12 22:39:30.029000	1.774473e+01	C
72	2002-06-12 22:39:30.189000	1.783146e+01	C
73	2002-06-12 22:39:30.509000	1.795420e+01	C
74	2002-06-12 22:39:30.669000	1.799748e+01	C
75	2002-06-12 22:39:30.829000	1.802632e+01	C
76	2002-06-12 22:39:31.149000	1.812722e+01	C
77	2002-06-12 22:39:31.309000	1.827118e+01	C
78	2002-06-12 22:39:31.469000	1.826399e+01	C
79	2002-06-12 22:39:31.629000	1.823521e+01	C
80	2002-06-12 22:39:31.789000	1.828557e+01	C
81	2002-06-12 22:39:31.949000	1.837902e+01	C
82	2002-06-12 22:39:32.109000	1.835028e+01	C
83	2002-06-12 22:39:32.269000	1.842212e+01	C
84	2002-06-12 22:39:32.429000	1.843649e+01	C
85	2002-06-12 22:39:32.589000	1.846521e+01	C
86	2002-06-12 22:39:32.749000	1.850828e+01	C
87	2002-06-12 22:39:32.909000	1.862304e+01	C
88	2002-06-12 22:39:33.069000	1.866604e+01	C
89	2002-06-12 22:39:33.229000	1.853698e+01	C
90	2002-06-12 22:39:33.389000	1.859436e+01	C
91	2002-06-12 22:39:33.549000	1.875915e+01	C
92	2002-06-12 22:39:33.709000	1.885932e+01	C
93	2002-06-12 22:39:33.869000	1.881640e+01	C
94	2002-06-12 22:39:34.029000	1.883071e+01	C
95	2002-06-12 22:39:34.189000	1.896654e+01	C
96	2002-06-12 22:39:34.509000	1.917352e+01	C
97	2002-06-12 22:39:34.669000	1.916639e+01	C
98	2002-06-12 22:39:34.829000	1.914500e+01	C
99	2002-06-12 22:39:35.149000	1.913787e+01	C
100	2002-06-12 22:39:35.309000	1.920917e+01	C
101	2002-06-12 22:39:35.469000	1.929466e+01	C
102	2002-06-12 22:39:35.629000	1.923055e+01	C
103	2002-06-12 22:39:35.789000	1.928042e+01	C
104	2002-06-12 22:39:35.949000	1.933027e+01	C
105	2002-06-12 22:39:36.109000	1.933027e+01	C
106	2002-06-12 22:39:36.269000	1.937297e+01	C
107	2002-06-12 22:39:36.429000	1.937297e+01	C
108	2002-06-12 22:39:36.589000	1.949388e+01	C
109	2002-06-12 22:39:36.749000	1.946544e+01	C
110	2002-06-12 22:39:36.909000	1.946544e+01	C
111	2002-06-12 22:39:37.069000	1.955072e+01	C
112	2002-06-12 22:39:37.229000	1.957203e+01	C
113	2002-06-12 22:39:37.389000	1.964304e+01	C
114	2002-06-12 22:39:37.549000	1.965013e+01	C
115	2002-06-12 22:39:37.709000	1.974236e+01	C
116	2002-06-12 22:39:37.869000	1.982032e+01	C
117	2002-06-12 22:39:38.029000	1.976362e+01	C
118	2002-06-12 22:39:38.189000	1.979198e+01	C
119	2002-06-12 22:39:38.349000	1.982032e+01	C
120	2002-06-12 22:39:38.509000	1.986991e+01	C
121	2002-06-12 22:39:38.669000	1.993363e+01	C
122	2002-06-12 22:39:38.830000	1.999024e+01	C
123	2002-06-12 22:39:39.149000	2.008216e+01	C
124	2002-06-12 22:39:39.309000	2.008922e+01	C
125	2002-06-12 22:39:39.469000	2.011042e+01	C
126	2002-06-12 22:39:39.630000	2.021635e+01	C
127	2002-06-12 22:39:39.790000	2.022341e+01	C
128	2002-06-12 22:39:39.950000	2.030807e+01	C
129	2002-06-12 22:39:40.110000	2.035038e+01	C
130	2002-06-12 22:39:40.270000	2.036448e+01	C
131	2002-06-12 22:39:40.430000	2.039971e+01	C
132	2002-06-12 22:39:40.590000	2.047719e+01	C
133	2002-06-12 22:39:40.750000	2.051943e+01	C
134	2002-06-12 22:39:40.910000	2.056165e+01	C
135	2002-06-12 22:39:41.070000	2.061791e+01	C
136	2002-06-12 22:39:41.230000	2.054054e+01	C
137	2002-06-12 22:39:41.390000	2.071630e+01	C
138	2002-06-12 22:39:41.550000	2.073035e+01	C
139	2002-06-12 22:39:41.710000	2.082864e+01	C
140	2002-06-12 22:39:41.870000	2.085670e+01	C
141	2002-06-12 22:39:42.030000	2.091281e+01	C
142	2002-06-12 22:39:42.190000	2.089177e+01	C
143	2002-06-12 22:39:42.350000	2.097589e+01	C
144	2002-06-12 22:39:42.510000	2.099691e+01	C
145	2002-06-12 22:39:42.670000	2.102493e+01	C
146	2002-06-12 22:39:42.830000	2.105295e+01	C
147	2002-06-12 22:39:43.150000	2.123484e+01	C
148	2002-06-12 22:39:43.310000	2.133265e+01	C
149	2002-06-12 22:39:43.470000	2.117891e+01	C
150	2002-06-12 22:39:43.630000	2.132567e+01	C
151	2002-06-12 22:39:43.790000	2.133265e+01	C
152	2002-06-12 22:39:43.950000	2.141642e+01	C
153	2002-06-12 22:39:44.110000	2.147223e+01	C
154	2002-06-12 22:39:44.270000	2.156285e+01	C
155	2002-06-12 22:39:44.430000	2.155589e+01	C
156	2002-06-12 22:39:44.590000	2.166036e+01	C
157	2002-06-12 22:39:44.750000	2.156982e+01	C
158	2002-06-12 22:39:44.910000	2.161858e+01	C
159	2002-06-12 22:39:45.070000	2.180645e+01	C
160	2002-06-12 22:39:45.230000	2.175082e+01	C
161	2002-06-12 22:39:45.390000	2.191068e+01	C
162	2002-06-12 22:39:45.550000	2.192457e+01	C
163	2002-06-12 22:39:45.710000	2.186205e+01	C
164	2002-06-12 22:39:45.870000	2.191763e+01	C
165	2002-06-12 22:39:46.030000	2.199399e+01	C
166	2002-06-12 22:39:46.190000	2.204949e+01	C
167	2002-06-12 22:39:46.350000	2.210497e+01	C
168	2002-06-12 22:39:46.510000	2.207723e+01	C
169	2002-06-12 22:39:46.670000	2.208417e+01	C
170	2002-06-12 22:39:46.830000	2.223660e+01	C
171	2002-06-12 22:39:46.990000	2.233349e+01	C
172	2002-06-12 22:39:47.150000	2.229889e+01	C
173	2002-06-12 22:39:47.310000	2.234040e+01	C
174	2002-06-12 22:39:47.470000	2.244411e+01	C
175	2002-06-12 22:39:47.630000	2.244411e+01	C
176	2002-06-12 22:39:47.790000	2.249937e+01	C
177	2002-06-12 22:39:47.950000	2.257532e+01	C
178	2002-06-12 22:39:48.110000	2.258912e+01	C
179	2002-06-12 22:39:48.270000	2.253390e+01	C
180	2002-06-12 22:39:48.430000	2.260292e+01	C
181	2002-06-12 22:39:48.590000	2.258912e+01	C
182	2002-06-12 22:39:48.750000	2.259602e+01	C
183	2002-06-12 22:39:48.910000	2.267879e+01	C
184	2002-06-12 22:39:49.070000	2.261672e+01	C
185	2002-06-12 22:39:49.230000	2.260982e+01	C
186	2002-06-12 22:39:49.390000	2.260982e+01	C
187	2002-06-12 22:39:49.550000	2.264431e+01	C
188	2002-06-12 22:39:49.710000	2.273393e+01	C
189	2002-06-12 22:39:49.870000	2.272704e+01	C
190	2002-06-12 22:39:50.030000	2.278216e+01	C
191	2002-06-12 22:39:50.190000	2.289232e+01	C
192	2002-06-12 22:39:50.350000	2.289920e+01	C
193	2002-06-12 22:39:50.511000	2.298861e+01	C
194	2002-06-12 22:39:50.670000	2.296110e+01	C
195	2002-06-12 22:39:50.830000	2.298861e+01	C
196	2002-06-12 22:39:50.991000	2.297486e+01	C
197	2002-06-12 22:39:51.151000	2.307107e+01	C
198	2002-06-12 22:39:51.311000	2.312601e+01	C
199	2002-06-12 22:39:51.471000	2.317406e+01	C
200	2002-06-12 22:39:51.631000	2.320151e+01	C
201	2002-06-12 22:39:51.791000	2.331808e+01	C
202	2002-06-12 22:39:51.951000	2.337290e+01	C
203	2002-06-12 22:39:52.111000	2.337975e+01	C
204	2002-06-12 22:39:52.271000	2.338660e+01	C
205	2002-06-12 22:39:52.431000	2.348244e+01	C
206	2002-06-12 22:39:52.591000	2.348244e+01	C
207	2002-06-12 22:39:52.751000	2.343453e+01	C
208	2002-06-12 22:39:52.911000	2.346191e+01	C
209	2002-06-12 22:39:53.071000	2.353033e+01	C
210	2002-06-12 22:39:53.231000	2.350981e+01	C
211	2002-06-12 22:39:53.391000	2.356453e+01	C
212	2002-06-12 22:39:53.551000	2.357137e+01	C
213	2002-06-12 22:39:53.711000	2.378994e+01	C
214	2002-06-12 22:39:53.871000	2.374899e+01	C
215	2002-06-12 22:39:54.031000	2.374216e+01	C
216	2002-06-12 22:39:54.191000	2.365338e+01	C
217	2002-06-12 22:39:54.351000	2.370802e+01	C
218	2002-06-12 22:39:54.511000	2.378994e+01	C
219	2002-06-12 22:39:54.671000	2.384451e+01	C
220	2002-06-12 22:39:54.831000	2.385133e+01	C
221	2002-06-12 22:39:54.991000	2.386497e+01	C
222	2002-06-12 22:39:55.151000	2.389224e+01	C
223	2002-06-12 22:39:55.311000	2.399444e+01	C
224	2002-06-12 22:39:55.471000	2.402168e+01	C
225	2002-06-12 22:39:55.631000	2.411696e+01	C
226	2002-06-12 22:39:55.791000	2.411016e+01	C
227	2002-06-12 22:39:55.951000	2.410335e+01	C
228	2002-06-12 22:39:56.111000	2.417817e+01	C
229	2002-06-12 22:39:56.271000	2.418497e+01	C
230	2002-06-12 22:39:56.431000	2.413056e+01	C
231	2002-06-12 22:39:56.591000	2.428010e+01	C
232	2002-06-12 22:39:56.751000	2.425972e+01	C
233	2002-06-12 22:39:56.911000	2.428010e+01	C
234	2002-06-12 22:39:57.071000	2.432084e+01	C
235	2002-06-12 22:39:57.231000	2.428689e+01	C
236	2002-06-12 22:39:57.391000	2.434121e+01	C
237	2002-06-12 22:39:57.551000	2.435479e+01	C
238	2002-06-12 22:39:57.711000	2.427331e+01	C
239	2002-06-12 22:39:57.871000	2.442943e+01	C
240	2002-06-12 22:39:58.031000	2.447689e+01	C
241	2002-06-12 22:39:58.191000	2.454467e+01	C
242	2002-06-12 22:39:58.351000	2.451079e+01	C
243	2002-06-12 22:39:58.511000	2.456500e+01	C
244	2002-06-12 22:39:58.671000	2.452434e+01	C
245	2002-06-12 22:39:58.831000	2.450401e+01	C
246	2002-06-12 22:39:58.991000	2.454467e+01	C
247	2002-06-12 22:39:59.150000	2.468687e+01	C
248	2002-06-12 22:39:59.310000	2.461918e+01	C
249	2002-06-12 22:39:59.470000	2.473422e+01	C
250	2002-06-12 22:39:59.630000	2.489643e+01	C
251	2002-06-12 22:39:59.790000	2.492344e+01	C
252	2002-06-12 22:39:59.950000	2.486941e+01	C
253	2002-06-12 22:40:00.110000	2.499094e+01	C
254	2002-06-12 22:40:00.270000	2.495045e+01	C
255	2002-06-12 22:40:00.430000	2.492344e+01	C
256	2002-06-12 22:40:00.590000	2.495720e+01	C
257	2002-06-12 22:40:00.750000	2.502467e+01	C
258	2002-06-12 22:40:00.910000	2.505840e+01	C
259	2002-06-12 22:40:01.070000	2.515277e+01	C
260	2002-06-12 22:40:01.230000	2.510559e+01	C
261	2002-06-12 22:40:01.390000	2.509885e+01	C
262	2002-06-12 22:40:01.551000	2.519318e+01	C
263	2002-06-12 22:40:01.710000	2.516624e+01	C
264	2002-06-12 22:40:01.871000	2.518645e+01	C
265	2002-06-12 22:40:02.031000	2.521339e+01	C
266	2002-06-12 22:40:02.191000	2.533453e+01	C
267	2002-06-12 22:40:02.351000	2.530089e+01	C
268	2002-06-12 22:40:02.511000	2.534798e+01	C
269	2002-06-12 22:40:02.671000	2.537488e+01	C
270	2002-06-12 22:40:02.831000	2.530089e+01	C
271	2002-06-12 22:40:02.991000	2.541521e+01	C
272	2002-06-12 22:40:03.152000	2.541521e+01	C
273	2002-06-12 22:40:03.312000	2.544210e+01	C
274	2002-06-12 22:40:03.472000	2.541521e+01	C
275	2002-06-12 22:40:03.632000	2.539505e+01	C
276	2002-06-12 22:40:03.792000	2.545554e+01	C
277	2002-06-12 22:40:03.952000	2.554956e+01	C
278	2002-06-12 22:40:04.112000	2.560325e+01	C
279	2002-06-12 22:40:04.272000	2.556298e+01	C
280	2002-06-12 22:40:04.432000	2.567033e+01	C
281	2002-06-12 22:40:04.592000	2.563679e+01	C
282	2002-06-12 22:40:04.752000	2.565021e+01	C
283	2002-06-12 22:40:04.912000	2.569715e+01	C
284	2002-06-12 22:40:05.072000	2.574406e+01	C
285	2002-06-12 22:40:05.232000	2.575747e+01	C
286	2002-06-12 22:40:05.392000	2.576417e+01	C
287	2002-06-12 22:40:05.552000	2.580436e+01	C
288	2002-06-12 22:40:05.712000	2.579766e+01	C
289	2002-06-12 22:40:05.872000	2.582445e+01	C
290	2002-06-12 22:40:06.032000	2.577086e+01	C
291	2002-06-12 22:40:06.192000	2.575747e+01	C
292	2002-06-12 22:40:06.352000	2.579766e+01	C
293	2002-06-12 22:40:06.512000	2.578426e+01	C
294	2002-06-12 22:40:06.672000	2.590477e+01	C
295	2002-06-12 22:40:06.832000	2.590477e+01	C
296	2002-06-12 22:40:06.992000	2.586462e+01	C
297	2002-06-12 22:40:07.152000	2.597166e+01	C
298	2002-06-12 22:40:07.312000	2.590477e+01	C
299	2002-06-12 22:40:07.472000	2.583114e+01	C
300	2002-06-12 22:40:07.632000	2.595160e+01	C
301	2002-06-12 22:40:07.792000	2.599172e+01	C
302	2002-06-12 22:40:07.952000	2.600509e+01	C
303	2002-06-12 22:40:08.112000	2.613871e+01	C
304	2002-06-12 22:40:08.272000	2.612536e+01	C
305	2002-06-12 22:40:08.432000	2.617877e+01	C
306	2002-06-12 22:40:08.592000	2.625883e+01	C
307	2002-06-12 22:40:08.752000	2.627217e+01	C
308	2002-06-12 22:40:08.912000	2.633217e+01	C
309	2002-06-12 22:40:09.071000	2.630551e+01	C
